id,description,games,name,character_gender,obfuscated_description
1401,Prince of Ylisse,[1443],Chrom,0,<The game>
10,"Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life.

Shepard's gender, class, first name and general appearance are chosen and customised by the player. Mark Meer provides the voice for male Shepards, while Jennifer Hale voices females. Since the player can choose the gender of Shepard, much of the dialogue revolving around the character is gender neutral with only a few exceptions.

Alan Shepard was the source of the character's name. Shepard's armour developed over the series, and was originally intended to be red-and-white. Though both genders were given equal importance during development, marketing felt there was a need for a single identifiable hero for promotion of the game. Various merchandise has been made, including several figurines. Shepard has appeared in cameo appearances in other Electronic Arts games, though they will not be appearing in any future Mass Effect ones.","[73, 74]",Commander Shepard (male),0,"Commander <the character> is the player character in <The game> trilogy: <The game>, <The game> 2, and <The game> 3. A veteran soldier of <an organization> military and N7‑graduate of the <an organization> program, and the first human <a location> Council Spectre, <the character> works to stop ""<an organization>"", a sentient synthetic‑machine race dedicated to wiping out all organic life.

<the character>'s gender, class, first name and general appearance are chosen and customised by the player. <a person> provides the voice for male <the character>s, while <a person> voices females. Since the player can choose the gender of <the character>, much of the dialogue revolving around <the character> is gender neutral with only a few exceptions.

<a person> was the source of <the character>'s name. <the character>'s armour developed over the series, and was originally intended to be red‑and‑white. Though both genders were given equal importance during development, marketing felt there was a need for a single identifiable hero for promotion of the game. Various merchandise has been made, including several figurines. <the character> has appeared in cameo appearances in other <an organization> games, though they will not be appearing in any future <The game> ones."
9,"Garrus Vakarian is a turian, formerly part of C-Sec's Investigation Division. Like most turians, Garrus had his military training at fifteen, but later followed in his father's footsteps to become a C-Sec officer. He was responsible for the investigation of Saren Arterius, the Council's top Spectre, after the Alliance claimed Saren had gone rogue. Although Garrus was told that the investigation was over, he decided to defy the Executor's order and pursue another lead on his own. Eventually, Garrus attempts to join Commander Shepard's team to help defeat Saren and the geth.","[73, 74]",Garrus Vakarian,0,"<the character> is a turian, formerly part of <an organization>'s Investigation Division. Like most turians, <the character> had <his/her/their> military training at fifteen, but later followed in <his/her/their> father's footsteps to become a <an organization> officer. <the character> was responsible for the investigation of Saren Arterius, the Council's top Spectre, after the Alliance claimed Saren had gone rogue. Although <the character> was told that the investigation was over, <he/she/they> decided to defy the Executor's order and pursue another lead on <his/her/their> own. Eventually, <the character> attempts to join Commander Shepard's team to help defeat Saren and the geth."
7841,"Ragna the Bloodedge is the main protagonist of the BlazBlue series from Calamity Trigger to Central Fiction. He harbors a deep hatred of the Novus Orbis Librarium and aims to annihilate the organization. In turn, the NOL places the highest-ever bounty in history on his head. Ragna possesses a powerful form of ars magus (magic weapon) called the Azure Grimoire or BlazBlue which is central to the main conflict of the series.","[6750, 51448]",Ragna the Bloodedge,0,"<the character> is the main protagonist of <The game> from <a past event> to <a past event>. <he/she/they> harbors a deep hatred of <an organization> and aims to annihilate <an organization>. In turn, <an organization> places the highest‑ever bounty in history on <his/her/their> head. <the character> possesses a powerful form of ars magus (magic weapon) called <an artifact> which is central to the main conflict of <The game>."
15028,"Edelgard is a playable character and one of the main protagonists in Fire Emblem: Three Houses. She is the princess and the future emperor of the Adrestian Empire. In the Officers Academy, she is the leader of the Black Eagles.",[26845],Edelgard,1,"<the character> is a playable character and one of the main protagonists in <The game>. <she> is the princess and the future emperor of <a location>. In <a location>, <she> is the leader of <an organization>."
9357,"Trailer for the Kickstarter game "" HIDE OR DIE "" available soon. 
 
Asymmetric Horror has never been more frightening.",,Trailer voice,2,"Trailer for the Kickstarter game ""<The game>"" available soon.

Asymmetric Horror has never been more frightening."
3325,"Josuke Higashikata 8 is the protagonist of JoJolion. He is the eighth JoJo of the JoJo's Bizarre Adventure series. 
 
Josuke is a young man afflicted with retrograde amnesia, lacking any memories prior to being discovered by Yasuho Hirose near the Wall Eyes in Morioh Town. He dedicates himself to discovering his former identity and those originally associated with him. 
 
Josuke is a young, handsome and physically fit man of above-average height. 
 
He wears a tasseled ""Dixie cup"" sailor cap (in multiple illustrations, it is adorned with the same palm insignia as Jotaro Kujo's hat). He wears a sailor suit, cut with a wide neck and above the navel, a neckerchief with a button resembling a slotted screw head, large emblems of an anchor on his right side and a compass rose on his left, fitted pants with a belt, and a pair of high-top athletic shoes. 
 
After partaking in an equivelant exchange to save his life. Josuke has segmented rocks which form a running stich going down his left side, passing through his eye. 
 
The tentatively named Josuke Higashikata is a quirky amnesiac determined to learn his true identity and his past. 
 
Josuke is afflicted by extensive retrograde amnesia, lacking memory of himself or events prior to meeting Yasuho Hirose, but retaining various degrees of knowledge. As such, Josuke is driven to discover who he was by investigating the circumstances of his presence in the beach prior to having been saved by Yasuho; that goal occupy nearly all of his activities and no action on his part isn't made without approaching him of learning the truth. That drive is sufficiently strong that he was willing to interrupt a rare moment with his love interest Yasuho to investigate Karera Sakunami. After learning about his past identity, Josuke set for himself the new goal of retrieving the Locacaca branch and use the fruit to heal Holy Joestar-Kira. He still demonstrates the same steadfastness in investigating the fruit and the whereabouts of the Locacaca Organization, with the addition of deferring more to Rai Mamezuku's opinions, deeming the plant appraiser's expertise about the fruit worth listening to. His determination to reach his goals is best illustrated when he willingly steps into a rain made deadly by Satoru Akefu's Stand, letting his body being pierced by raindrops including his head just to reach the hospital.",[6517],Josuke Higashikata 8,0,"<the character> is the protagonist of <The game>. <he/she/they> is the eighth <person> of the <The game> series.

<the character> is a young <man/woman/person> afflicted with retrograde amnesia, lacking any memories prior to being discovered by <a person> near <a location> in <a location>. <the character> dedicates <himself/herself/themselves> to discovering <their> former identity and those originally associated with <them>.

<the character> is a young, handsome and physically fit <man/woman/person> of above‑average height.

<the character> wears a tasseled “Dixie cup” sailor cap (in multiple illustrations, it is adorned with the same palm insignia as <a person>’s hat). <the character> wears a sailor suit, cut with a wide neck and above the navel, a neckerchief with a button resembling a slotted screw head, large emblems of an anchor on <their> right side and a compass rose on <their> left, fitted pants with a belt, and a pair of high‑top athletic shoes.

After partaking in an equivalent exchange to save <their> life, <the character> has segmented rocks which form a running stitch down <their> left side, passing through <their> eye.

The tentatively named <the character> is a quirky amnesiac determined to learn <their> true identity and <their> past.

<the character> is afflicted by extensive retrograde amnesia, lacking memory of <themselves> or events prior to meeting <a person>, but retaining various degrees of knowledge. As such, <the character> is driven to discover who <they> were by investigating the circumstances of <their> presence in the beach prior to having been saved by <a person>; that goal occupies nearly all of <their> activities and no action on <their> part isn’t made without approaching <them> of learning the truth. That drive is sufficiently strong that <the character> was willing to interrupt a rare moment with <their> love interest <a person> to investigate <a location>. After learning about <their> past identity, <the character> set for <themselves> the new goal of retrieving <an artifact> and use <an artifact> to heal <an artifact>. <the character> still demonstrates the same steadfastness in investigating <an artifact> and the whereabouts of <an organization>, with the addition of deferring more to <a person>’s opinions, deeming the plant appraiser’s expertise about <an artifact> worth listening to. <their> determination to reach <their> goals is best illustrated when <the character> willingly steps into a rain made deadly by <an artifact>, letting <their> body being pierced by raindrops including <their> head just to reach the hospital."
2050,"Talion is one of the two player-controlled protagonists in both Middle-earth: Shadow of Mordor and Middle-earth: Shadow of War, alongside Celebrimbor. However, they share the same body. 
 
A descendant of the Northmen in Rhovanion, and raised in Minas Tirith, he is a loyal Ranger of Gondor, where he then rose the rank of Captain of the Black Gate. After the tragic demise of his family and himself, Talion was revived by Celebrimbor, an immensely powerful Wraith; where the two joined forces and began a quest for vengeance on those responsible for the death of his loved ones the Black Hand of Sauron.",[3025],Talion,0,"<the character> is one of the two player‑controlled protagonists in both <The game> and <The game>, alongside <another character>. However, they share the same body. 

A descendant of the Northmen in <a location>, and raised in <a location>, <he> is a loyal <an organization> of <an organization>, where <he> then rose the rank of Captain of <a location>. After the tragic demise of <his> family and <himself>, <the character> was revived by <another character>, an immensely powerful Wraith; where the two joined forces and began a quest for vengeance on those responsible for the death of <his> loved ones <an organization>."
2882,"Felicia was first introduced in Darkstalkers: The Night Warriors as one of two female characters alongside Morrigan Aensland. She has appeared in every game in the series and in numerous cross overs including Marvel vs. Capcom 2: New Age of Heroes along with Morrigan, Baby Bonnie Hood and Anakaris. 
 
Felicia is a Catwoman who was taken in and raised by a Sister named Rose who gave her the name Felicia from the word Felicity. Despite her identity as a Darkstalker being exposed, she was not turned away by her as Felicia had feared. When Rose passed away, Felicia left her town hoping to be a musical star. 
 
She is an energetic and optimistic catgirl who enjoys singing, dancing and making friends with people. All she wishes for is peaceful coexistence with humans and doesn't resort to fighting unless she cannot avoid it. Because of this, she stands out among all the other Darkstalkers, many of whom are antihero at best. Her nice attitude has made some people tolerate Darkstalkers more and this gives her more motivation to persuade more humans to accept them since Felicia loves humans due to their personalities and open-mindedness, despite some not accepting Darkstalkers easily she doesn't give up her passion to make friends with the ones that care.",[7330],Felicia,1,"<the character> was first introduced in <The game> as one of two female characters alongside <the character>. <she> has appeared in every game in the series and in numerous cross overs including <The game> along with <the character>, <the character> and <the character>.

<the character> is a Catwoman who was taken in and raised by <a person> who gave <her> the name <the character> from the word Felicity. Despite <her> identity as a <a race> being exposed, <she> was not turned away by <her> as <the character> had feared. When <a person> passed away, <the character> left <her> town hoping to be a musical star.

<she> is an energetic and optimistic catgirl who enjoys singing, dancing and making friends with people. All <she> wishes for is peaceful coexistence with humans and doesn't resort to fighting unless <she> cannot avoid it. Because of this, <she> stands out among all the other <The game>, many of whom are antihero at best. <her> nice attitude has made some people tolerate <The game> more and this gives <her> more motivation to persuade more humans to accept them since <the character> loves humans due to their personalities and open‑mindedness, despite some not accepting <The game> easily <she> doesn't give up <her> passion to make friends with the ones that care."
2057,"The Hammer of Sauron was a stretcher bearer during the War of the Last Alliance, who grew disillusioned and became seduced by Sauron's power after he came upon the Dark Lord's mace which had been dropped after Isildur defeated him. After that the Hammer realized that his life in helping wounded soldiers looking to find glory in war was wasted and thought that if they were so desperate to find glory on the battlefield then he would be more than happy to give it to them. 
 
Sometime after this epiphany, he joined a triumvirate consisting of himself, the Tower of Sauron and the Black Hand of Sauron. They became collectively known as the Black Captains.",[3025],The Hammer,0,"<the character> was a stretcher bearer during <a past event>, who grew disillusioned and became seduced by <an organization>'s power after <he/she/they> came upon <an artifact> which had been dropped after <a character> defeated <him/her/them>. After that <the character> realized that <his/her/their> life in helping wounded soldiers looking to find glory in war was wasted and thought that if they were so desperate to find glory on the battlefield then <he/she/they> would be more than happy to give it to them.

Sometime after this epiphany, <he/she/they> joined a triumvirate consisting of <the character>, <an organization>, and <an organization>. They became collectively known as <an organization>."
6061,"Agent 47 is the main character from the Hitman series and a highly skilled assassin, both in ability and in his techniques. He's a relatively emotionless assassin, but can now and then show some signs of morality, like when confessing his sins to Father Vittorio. Agent 47 doesn't work to gain money, but to have a purpose in life.

He is emotionally closed off to the suffering of others when appropriate on a contract, even if they remind him of himself at a younger age. His absolute highest priority is completing his contract. He will sacrifice innocents if he must, but he will kill the target. Vocally, he rarely raises his voice, choosing to speak in a calm and relaxed manner at all time. When speaking to another person, he can perfectly mask his true intentions and fool the other party with no effort. Agent 47 approaches his assassinations with professionalism but will, however, not show any hesitation or remorse when it comes to killing or silencing witnesses and other potential threats to his mission. 

His genetically engineered mind and body make competition next to nothing, and for this reason, Agent 47 is considered to be the world's most greatest assassin.","[1050, 748]",Hitman,0,"<the character> is the main character from <The game> and a highly skilled assassin, both in ability and in <his> techniques. <he> is a relatively emotionless assassin, but can now and then show some signs of morality, like when confessing <his> sins to <a person>. <the character> doesn't work to gain money, but to have a purpose in life.

<he> is emotionally closed off to the suffering of others when appropriate on a contract, even if they remind <him> of <himself> at a younger age. <his> absolute highest priority is completing <his> contract. <he> will sacrifice innocents if <he> must, but <he> will kill the target. Vocally, <he> rarely raises <his> voice, choosing to speak in a calm and relaxed manner at all time. When speaking to another person, <he> can perfectly mask <his> true intentions and fool the other party with no effort. <the character> approaches <his> assassinations with professionalism but will, however, not show any hesitation or remorse when it comes to killing or silencing witnesses and other potential threats to <his> mission.

<His> genetically engineered mind and body make competition next to nothing, and for this reason, <the character> is considered to be the world's most greatest assassin."
6169,"Preston Garvey is a senior officer of the Commonwealth Minutemen, a volunteer defense militia operating in the Commonwealth in 2287. He is also available as a companion of the Sole Survivor.",[9630],Preston Garvey,0,"<the character> is a senior officer of <an organization>, a volunteer defense militia operating in <a location> in 2287. <he/she/they> is also available as a companion of <the character>."
6066,"Ashley is a smart cookie. She's often found in the library, studying away with her nose in a book. 

After spending a lot of time with her study-partner Chris, Ashley wonders if he's interested in her as more than just a friend, but she soon snaps out of it - Chris would never ask her out anyway. 

Her overactive imagination means that she's jumpier than a paranoid kangaroo. She's not a fan of anything scary.","[9727, 7609, 11367]",Ashley Brown,1,"<the character> is a smart cookie. <she> often found in the library, studying away with <her> nose in a book.  

After spending a lot of time with <her> study-partner Chris, <the character> wonders if he's interested in <her> as more than just a friend, but <she> soon snaps out of it - Chris would never ask <her> out anyway.  

<her> overactive imagination means that <she> jumpier than a paranoid kangaroo. <she> not a fan of anything scary."
7868,"Kiryu Kazuma is the former main protagonist of the Yakuza series from the first Yakuza up until Yakuza 6.

Kiryu is the honor-bound dreamer of the dark Yakuza world. He is not the type to judge others and is generally accepting of anyone who is friendly towards him. He lives by a strict code of honor and holds a very strong sense of justice. While he is extremely kind and goes out of his way to help civilians, he considers himself a Yakuza at heart, commonly using violence above words, so long as it is justified.

He generally lets his actions and mannerisms speak for him when possible. He tends to be the listening ear to the world, giving advice in response to his environment rather than seeking out conversations. He is wise but certainly not all-knowing, and generally means well for those around him, which makes him surprisingly pragmatic and well-liked.

Kiryu loves kids and shows himself to be a relatively competent caretaker to the children at Morning Glory Orphanage, with some help from Haruka Sawamura. He is genuine and understanding, bonding with the children through shared experiences. He tries to treat them all as fairly as possible and goes out of his way to keep them all safe and happy, whether that means putting on a wrestling match to cheer them up, or refusing to sell the land even in the face of a large sum of money.","[2062, 2061, 55090, 11397]",Kazuma Kiryu,0,"<the character> is the former main protagonist of <The game> from the first <The game> up until <The game>.

<the character> is the honor-bound dreamer of the dark <an organization> world. <he> is not the type to judge others and is generally accepting of anyone who is friendly towards <him>. <he> lives by a strict code of honor and holds a very strong sense of justice. While <he> is extremely kind and goes out of <his> way to help civilians, <he> considers <himself> a <an organization> at heart, commonly using violence above words, so long as it is justified.

<he> generally lets <his> actions and mannerisms speak for <himself> when possible. <he> tends to be the listening ear to the world, giving advice in response to <his> environment rather than seeking out conversations. <he> is wise but certainly not all-knowing, and generally means well for those around <him>, which makes <him> surprisingly pragmatic and well-liked.

<the character> loves kids and shows <himself> to be a relatively competent caretaker to the children at <a location>, with some help from <a character>. <he> is genuine and understanding, bonding with the children through shared experiences. <he> tries to treat them all as fairly as possible and goes out of <his> way to keep them all safe and happy, whether that means putting on a wrestling match to cheer them up, or refusing to sell the land even in the face of a large sum of money."
7068,"Jak is the main protagonist of the ""Jak and Daxter"" video game series developed by Naughty Dog. He is a brave, agile hero with spiky blond hair and green eyes. As the series progresses, Jak initially appears as a silent and curious youth but gains a voice and a more complex personality. Throughout the games, Jak undergoes significant transformations, gaining various eco powers that enhance his abilities, such as super speed, strength, and dark and light eco powers. His journey is often accompanied by his witty and talkative sidekick, Daxter, who provides comic relief. Jak's character development, his evolving abilities, and the richly designed world of the series make him a memorable and iconic figure in the realm of action-adventure gaming.","[1529, 36950]",Jak,0,"<the character> is the main protagonist of <The game> video game series developed by <an organization>. <he> is a brave, agile hero with spiky blond hair and green eyes. As the series progresses, <the character> initially appears as a silent and curious youth but gains a voice and a more complex personality. Throughout the games, <the character> undergoes significant transformations, gaining various eco powers that enhance <his> abilities, such as super speed, strength, and dark and light eco powers. <his> journey is often accompanied by <a sidekick>, who provides comic relief. <the character>'s character development, <his> evolving abilities, and the richly designed world of the series make <him> a memorable and iconic figure in the realm of action-adventure gaming."
8870,"Mojo Jojo is a super villian and the main antagonist of Cartoon Network's The Powerpuff Girls franchise, both in the TV series and video games. He was Professor Utonium's former lab assistant and pet, being pretty sweet. Now, he's the Powerpuff Girls' arch-nemesis, wanting to destroy them with all his might. The urge to crush Townsville and the need to conquer the world keeps him going, no matter what. Mojo (who is a very smart) spends a lot of time creating new weapons or large robots. He has high-vocabulary use and long-lasting sentences.

When the professor created the girls, the Chemical X also hit Jojo, which gave him a huge brain, so large that it ended up sticking out of his head. He also was given new emotions, such as envy and anger. Soon, he became hateful towards the professor who started to ignore him and care more about the girls. Since then he spends his life wanting revenge. At first, he was isolated for a great period of time, becoming a loner. 

Mojo is a chimpanzee, but is often called an ""ape"", which irritates him.

Being very cunning, he often manages to play with the Powerpuff girls's naivety. Sometimes Mojo actually manages to find their weaknesses and use it against the girls in battle. Despite being very dark-natured, he lives another life outside of seeking revenge. He enjoys buying food instead of stealing it. He also likes to build model ships and values the sense of honor.

During one incident, Mojo Jojo actually manages to defeat the girls by outsmarting them. He nearly destroyed the girls, but the police managed to catch him and he ended up in jail, even angrier than before.",,Mojo Jojo,0,"<the character> is a super villain and the main antagonist of <an organization>'s <The game> franchise, both in the TV series and video games. <he> was <a scientist>'s former lab assistant and pet, being pretty sweet. Now, <he>'s the <the team>'s arch-nemesis, wanting to destroy them with all <his> might. The urge to crush <a location> and the need to conquer the world keeps <him> going, no matter what. <the character> (who is very smart) spends a lot of time creating new weapons or large robots. <he> has high-vocabulary use and long-lasting sentences.

When <a scientist> created <the team>, <an artifact> also hit <the character>, which gave <him> a huge brain, so large that it ended up sticking out of <his> head. <he> also was given new emotions, such as envy and anger. Soon, <he> became hateful towards <a scientist> who started to ignore <him> and care more about <the team>. Since then <he> spends <his> life wanting revenge. At first, <he> was isolated for a great period of time, becoming a loner.

<the character> is a chimpanzee, but is often called an ""ape"", which irritates <him>.

Being very cunning, <he> often manages to play with <the team>'s naivety. Sometimes <the character> actually manages to find <their> weaknesses and use it against <the team> in battle. Despite being very dark-natured, <he> lives another life outside of seeking revenge. <he> enjoys buying food instead of stealing it. <he> also likes to build model ships and values the sense of honor.

During one incident, <the character> actually manages to defeat <the team> by outsmarting <them>. <he> nearly destroyed <the team>, but the police managed to catch <him> and <he> ended up in jail, even angrier than before."
