id,description,games,name,character_gender
1401,Prince of Ylisse,[1443],Chrom,0
10,"Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life.

Shepard's gender, class, first name and general appearance are chosen and customised by the player. Mark Meer provides the voice for male Shepards, while Jennifer Hale voices females. Since the player can choose the gender of Shepard, much of the dialogue revolving around the character is gender neutral with only a few exceptions.

Alan Shepard was the source of the character's name. Shepard's armour developed over the series, and was originally intended to be red-and-white. Though both genders were given equal importance during development, marketing felt there was a need for a single identifiable hero for promotion of the game. Various merchandise has been made, including several figurines. Shepard has appeared in cameo appearances in other Electronic Arts games, though they will not be appearing in any future Mass Effect ones.","[73, 74]",Commander Shepard (male),0
9,"Garrus Vakarian is a turian, formerly part of C-Sec's Investigation Division. Like most turians, Garrus had his military training at fifteen, but later followed in his father's footsteps to become a C-Sec officer. He was responsible for the investigation of Saren Arterius, the Council's top Spectre, after the Alliance claimed Saren had gone rogue. Although Garrus was told that the investigation was over, he decided to defy the Executor's order and pursue another lead on his own. Eventually, Garrus attempts to join Commander Shepard's team to help defeat Saren and the geth.","[73, 74]",Garrus Vakarian,0
7841,"Ragna the Bloodedge is the main protagonist of the BlazBlue series from Calamity Trigger to Central Fiction. He harbors a deep hatred of the Novus Orbis Librarium and aims to annihilate the organization. In turn, the NOL places the highest-ever bounty in history on his head. Ragna possesses a powerful form of ars magus (magic weapon) called the Azure Grimoire or BlazBlue which is central to the main conflict of the series.","[6750, 51448]",Ragna the Bloodedge,0
15028,"Edelgard is a playable character and one of the main protagonists in Fire Emblem: Three Houses. She is the princess and the future emperor of the Adrestian Empire. In the Officers Academy, she is the leader of the Black Eagles.",[26845],Edelgard,1
9357,"Trailer for the Kickstarter game "" HIDE OR DIE "" available soon. 
 
Asymmetric Horror has never been more frightening.",,Trailer voice,2
3325,"Josuke Higashikata 8 is the protagonist of JoJolion. He is the eighth JoJo of the JoJo's Bizarre Adventure series. 
 
Josuke is a young man afflicted with retrograde amnesia, lacking any memories prior to being discovered by Yasuho Hirose near the Wall Eyes in Morioh Town. He dedicates himself to discovering his former identity and those originally associated with him. 
 
Josuke is a young, handsome and physically fit man of above-average height. 
 
He wears a tasseled ""Dixie cup"" sailor cap (in multiple illustrations, it is adorned with the same palm insignia as Jotaro Kujo's hat). He wears a sailor suit, cut with a wide neck and above the navel, a neckerchief with a button resembling a slotted screw head, large emblems of an anchor on his right side and a compass rose on his left, fitted pants with a belt, and a pair of high-top athletic shoes. 
 
After partaking in an equivelant exchange to save his life. Josuke has segmented rocks which form a running stich going down his left side, passing through his eye. 
 
The tentatively named Josuke Higashikata is a quirky amnesiac determined to learn his true identity and his past. 
 
Josuke is afflicted by extensive retrograde amnesia, lacking memory of himself or events prior to meeting Yasuho Hirose, but retaining various degrees of knowledge. As such, Josuke is driven to discover who he was by investigating the circumstances of his presence in the beach prior to having been saved by Yasuho; that goal occupy nearly all of his activities and no action on his part isn't made without approaching him of learning the truth. That drive is sufficiently strong that he was willing to interrupt a rare moment with his love interest Yasuho to investigate Karera Sakunami. After learning about his past identity, Josuke set for himself the new goal of retrieving the Locacaca branch and use the fruit to heal Holy Joestar-Kira. He still demonstrates the same steadfastness in investigating the fruit and the whereabouts of the Locacaca Organization, with the addition of deferring more to Rai Mamezuku's opinions, deeming the plant appraiser's expertise about the fruit worth listening to. His determination to reach his goals is best illustrated when he willingly steps into a rain made deadly by Satoru Akefu's Stand, letting his body being pierced by raindrops including his head just to reach the hospital.",[6517],Josuke Higashikata 8,0
2050,"Talion is one of the two player-controlled protagonists in both Middle-earth: Shadow of Mordor and Middle-earth: Shadow of War, alongside Celebrimbor. However, they share the same body. 
 
A descendant of the Northmen in Rhovanion, and raised in Minas Tirith, he is a loyal Ranger of Gondor, where he then rose the rank of Captain of the Black Gate. After the tragic demise of his family and himself, Talion was revived by Celebrimbor, an immensely powerful Wraith; where the two joined forces and began a quest for vengeance on those responsible for the death of his loved ones the Black Hand of Sauron.",[3025],Talion,0
2882,"Felicia was first introduced in Darkstalkers: The Night Warriors as one of two female characters alongside Morrigan Aensland. She has appeared in every game in the series and in numerous cross overs including Marvel vs. Capcom 2: New Age of Heroes along with Morrigan, Baby Bonnie Hood and Anakaris. 
 
Felicia is a Catwoman who was taken in and raised by a Sister named Rose who gave her the name Felicia from the word Felicity. Despite her identity as a Darkstalker being exposed, she was not turned away by her as Felicia had feared. When Rose passed away, Felicia left her town hoping to be a musical star. 
 
She is an energetic and optimistic catgirl who enjoys singing, dancing and making friends with people. All she wishes for is peaceful coexistence with humans and doesn't resort to fighting unless she cannot avoid it. Because of this, she stands out among all the other Darkstalkers, many of whom are antihero at best. Her nice attitude has made some people tolerate Darkstalkers more and this gives her more motivation to persuade more humans to accept them since Felicia loves humans due to their personalities and open-mindedness, despite some not accepting Darkstalkers easily she doesn't give up her passion to make friends with the ones that care.",[7330],Felicia,1
2057,"The Hammer of Sauron was a stretcher bearer during the War of the Last Alliance, who grew disillusioned and became seduced by Sauron's power after he came upon the Dark Lord's mace which had been dropped after Isildur defeated him. After that the Hammer realized that his life in helping wounded soldiers looking to find glory in war was wasted and thought that if they were so desperate to find glory on the battlefield then he would be more than happy to give it to them. 
 
Sometime after this epiphany, he joined a triumvirate consisting of himself, the Tower of Sauron and the Black Hand of Sauron. They became collectively known as the Black Captains.",[3025],The Hammer,0
6061,"Agent 47 is the main character from the Hitman series and a highly skilled assassin, both in ability and in his techniques. He's a relatively emotionless assassin, but can now and then show some signs of morality, like when confessing his sins to Father Vittorio. Agent 47 doesn't work to gain money, but to have a purpose in life.

He is emotionally closed off to the suffering of others when appropriate on a contract, even if they remind him of himself at a younger age. His absolute highest priority is completing his contract. He will sacrifice innocents if he must, but he will kill the target. Vocally, he rarely raises his voice, choosing to speak in a calm and relaxed manner at all time. When speaking to another person, he can perfectly mask his true intentions and fool the other party with no effort. Agent 47 approaches his assassinations with professionalism but will, however, not show any hesitation or remorse when it comes to killing or silencing witnesses and other potential threats to his mission. 

His genetically engineered mind and body make competition next to nothing, and for this reason, Agent 47 is considered to be the world's most greatest assassin.","[1050, 748]",Hitman,0
6169,"Preston Garvey is a senior officer of the Commonwealth Minutemen, a volunteer defense militia operating in the Commonwealth in 2287. He is also available as a companion of the Sole Survivor.",[9630],Preston Garvey,0
6066,"Ashley is a smart cookie. She's often found in the library, studying away with her nose in a book. 

After spending a lot of time with her study-partner Chris, Ashley wonders if he's interested in her as more than just a friend, but she soon snaps out of it - Chris would never ask her out anyway. 

Her overactive imagination means that she's jumpier than a paranoid kangaroo. She's not a fan of anything scary.","[9727, 7609, 11367]",Ashley Brown,1
7868,"Kiryu Kazuma is the former main protagonist of the Yakuza series from the first Yakuza up until Yakuza 6.

Kiryu is the honor-bound dreamer of the dark Yakuza world. He is not the type to judge others and is generally accepting of anyone who is friendly towards him. He lives by a strict code of honor and holds a very strong sense of justice. While he is extremely kind and goes out of his way to help civilians, he considers himself a Yakuza at heart, commonly using violence above words, so long as it is justified.

He generally lets his actions and mannerisms speak for him when possible. He tends to be the listening ear to the world, giving advice in response to his environment rather than seeking out conversations. He is wise but certainly not all-knowing, and generally means well for those around him, which makes him surprisingly pragmatic and well-liked.

Kiryu loves kids and shows himself to be a relatively competent caretaker to the children at Morning Glory Orphanage, with some help from Haruka Sawamura. He is genuine and understanding, bonding with the children through shared experiences. He tries to treat them all as fairly as possible and goes out of his way to keep them all safe and happy, whether that means putting on a wrestling match to cheer them up, or refusing to sell the land even in the face of a large sum of money.","[2062, 2061, 55090, 11397]",Kazuma Kiryu,0
7068,"Jak is the main protagonist of the ""Jak and Daxter"" video game series developed by Naughty Dog. He is a brave, agile hero with spiky blond hair and green eyes. As the series progresses, Jak initially appears as a silent and curious youth but gains a voice and a more complex personality. Throughout the games, Jak undergoes significant transformations, gaining various eco powers that enhance his abilities, such as super speed, strength, and dark and light eco powers. His journey is often accompanied by his witty and talkative sidekick, Daxter, who provides comic relief. Jak's character development, his evolving abilities, and the richly designed world of the series make him a memorable and iconic figure in the realm of action-adventure gaming.","[1529, 36950]",Jak,0
8870,"Mojo Jojo is a super villian and the main antagonist of Cartoon Network's The Powerpuff Girls franchise, both in the TV series and video games. He was Professor Utonium's former lab assistant and pet, being pretty sweet. Now, he's the Powerpuff Girls' arch-nemesis, wanting to destroy them with all his might. The urge to crush Townsville and the need to conquer the world keeps him going, no matter what. Mojo (who is a very smart) spends a lot of time creating new weapons or large robots. He has high-vocabulary use and long-lasting sentences.

When the professor created the girls, the Chemical X also hit Jojo, which gave him a huge brain, so large that it ended up sticking out of his head. He also was given new emotions, such as envy and anger. Soon, he became hateful towards the professor who started to ignore him and care more about the girls. Since then he spends his life wanting revenge. At first, he was isolated for a great period of time, becoming a loner. 

Mojo is a chimpanzee, but is often called an ""ape"", which irritates him.

Being very cunning, he often manages to play with the Powerpuff girls's naivety. Sometimes Mojo actually manages to find their weaknesses and use it against the girls in battle. Despite being very dark-natured, he lives another life outside of seeking revenge. He enjoys buying food instead of stealing it. He also likes to build model ships and values the sense of honor.

During one incident, Mojo Jojo actually manages to defeat the girls by outsmarting them. He nearly destroyed the girls, but the police managed to catch him and he ended up in jail, even angrier than before.",,Mojo Jojo,0
4875,"The protagonist of the Thief games is called Garrett, a master thief with a cynical view who wishes nothing more than to be left alone. He unwittingly becomes involved in a series of dramatic events, even though he just want to steal in peace. Growing up without any parents, he spent his childhood on the streets, having to pickpocket from people with money in order to survive. Later on a secret organization called The Keepers (dedicated to observe and maintain stability in the city) decided to recruit him. Garrett was given training in the arts of stealth, but soon found that it was way more profitable to make use of these skills as a thief than to continue working as an agent.

Garrett has a strong sense of professional pride as a thief, as well as self-interest. Being cynical and sarcastic, with a loyalty only to himself, he usually refuses to kill while on the job, stating that he's a thief and not a murderer.

During an incident, Garrett's right eye was pulled out from his socket. That's why he has a scar around the eye, as well as an experimental mechanical prosthetic. Weapons he uses includes a sword and bow, mines and the Blackjack.","[4, 18364, 9227]",Garrett,0
8805,"Ana is one of the main characters in Rise of the Tomb Raider. She was Richard Croft's former girlfriend. Richard met Ana during a conference and found her very intelligent and interesting. Ana became very precious to Richard who said that having her in his life ""Put new wind in his sails"". Interested in his research, Ana helped with the organizing and ended up becoming his editor. However, Richard was a bit scared that Lara thought he was replacing Ana with Amelia Croft. The older Lara got, the more accepting of Ana she became, being happy that she made Richard happy.

That's why Lara becomes so disgusted and shocked when she finds out that Ana is the sister of an enemy, Konstantin, a mentally disturbed guy that works for Trinity and believes that he is carrying out God's will in everything he does. The siblings are looking for the Divine Source as Ana needs it to cure her sickness. 

At first, Ana tries to warn Lara to stay away from her father's research. When that doesn't work, she decides to drop the act. She has been manipulating Lara's family for years, doing everything in her power to get what she wants. Ana however, still seems a bit sentimental towards Lara and orders the Trinity forces to keep her alive. Throughout the story of Rise of the Tomb Raider, more about Ana is revealed, with an emotional twist at the end.

Ana's last name is never revealed.",,Ana,1
9346,"Victor Vran is the main character in the game Victor Vran. 
 
At the beginning of the game, Victor is travelling to the city of Zagoravia, destroyed and invaded by hordes of demons and undeads, in search of his friend Adrian, a fellow hunter, and Victor's best friend, the only one who knows his past. Despite being a member of Hunters Order, devoted to purge the world from demons and undead beings, Victor is not going to Zagoravia to answer the queen's call for help, as the city is overrunned by demons and many hunters had perished trying to oppose them, a disaster whose proportions are unprecedented.",,Victor Vran,0
7888,"Goro Majima is a recurring major character in the Yakuza series first introduced in the original Yakuza.

His unpredictability, ferocity in combat, and accomplishments as the captain of the Shimano Family earned him the nickname ""The Mad Dog of Shimano"". He is the former patriarch of the Majima Family, the founder and former president of Majima Construction, and the former vice-chairman of the Tojo Clan.","[2062, 2061, 55090, 11397]",Goro Majima,0
6418,"A beautiful bottle-blonde with a mischievous nature, fun is Jessica's raison d'être. First on the guest list at any party, if there's one thing she's not, it's shy.

Her fun-loving nature has certainly managed to turn Mike's head - he dumped Emily in order to get with her.

A childhood ballerina, Jessica once wanted to be a cheerleader... until she realized that it was going be quite a lot of work.",[7609],Jessica Riley,1
12312,"Isabella ""Ivy"" Valentine is a character in the Soul series of fighting games. She appears in every game since Soulcalibur.",[76885],Isabella 'Ivy' Valentine,1
5094,"Faust is a recurring character in the Guilty Gear series. He is a medical genius gone insane and sane once more, and is probably one of the most unorthodox characters in the series. Having discarded his old identity, Faust is an itinerant healer dedicated to saving everyone he can to atone for his sins. 
 
Faust's extreme height and light weight give him a bizarre, tall, lanky physical appearance, and allows him to tower over every other character in the series—although he rarely does, due to his extremely low fighting stance. He wears a paper bag as a mask with one eyehole, which in one of his Taunts he takes off to reveal a glowing bald head and obscured face, and wields a giant scalpel as a weapon. 
 
His usual outfit consists of a collared, light-blue shirt with a black or yellow tie, green pants, and a stylized white coat with several sizable grey bolts on his shoulders and black belts. In -STRIVE-, Faust receives a major redesign: He wears simple light-blue scrubs, white gloves, a stethoscope around the neck, and mostly-white sneakers. It exposes an extremely skinny build and a stitched patch on the right side of his chest area. 
 
Going mad shattered whatever Faust's personality might have been, and even though he regained his sanity, a good deal of that wreckage is now permanent. And yet, contrary to his eccentric style and transportation methods, it is only in the battlefield that he can easily be described as ""wacky"".",[9141],Faust,0
3305,"Jolyne Cujoh is the protagonist of Part 6 and the sixth JoJo of the JoJo's Bizarre Adventure series. 
 
Jolyne is a young woman of above-average height and slim to athletic build. 
 
Bold-eyed, she wears her hair in two ""layers"": A dark base including two large buns atop her head and a short length going down her neck; above which, lightly dyed or bleached, she keeps a plait or braid that winds around both buns, joining in a short length at back, and bangs that frame her face. 
 
Flighty, abrupt, and snappy with her elders, Jolyne in her teenage years was easily considered a delinquent and lost cause. Bitter at Jotaro for being absent from her life, she tried multiple times to catch her father's attention by committing multiple minor crimes and went to jail several times for them. Because of her father's absence, Jolyne was said to be dependent on the affection and approval of those around her, and she was ready to cover Romeo's accident, resulting in her being sentenced to 15 years in prison for it. 
 
After acquiring her Stand and being told by Jotaro of his love for her, Jolyne noticeably matures, becoming more courageous and confident. ""Reviving"" Jotaro, who fell into a coma due to Whitesnake stealing his Stand and memory, turns into her first priority.",[6517],Jolyne Cujoh,1
4332,"Ori is a small white creature with a similar stance to a human or a bunny and has a cat-like tail and large black eyes with white pupils. They have two short horn-like antennae on top of their head, and underneath them there are larger ears, which droop when Ori is unhappy or weak. Ori's feet have small white hooves, as seen in their 3D model sheet. Their name is of Hebrew origin, literally meaning ""my light""[1].

Ori's nature is largely up to the player, but they do have some distinct personality traits. Throughout the prologue sequence, it is seen that Ori's personality is akin to that of a young child, being very innocent and dependent on their caregiver. But as the story goes on, Ori's character shows a massive amount of determination; even in the face of death itself, Ori never once gives up hope. Ori is also very forgiving and kind-hearted, willing to help those who have entered the darkness. In general, Ori is incredibly altruistic and chooses to focus on the well being of the world around them before their own needs.","[7344, 37001]",Ori,2
3332,"Naruto Uzumaki is a shinobi of Konohagakure's Uzumaki clan. He became the jinchūriki of the Nine-Tails on the day of his birth, a fate that caused him to be shunned by most of Konoha throughout his childhood. After joining Team Kakashi, Naruto worked hard to gain the village's acknowledgement all the while chasing his dream to become Hokage. In the following years, through many hardships and ordeals, he became a capable ninja regarded as a hero both by the villagers, and soon after, the rest of the world, leading him to achieve his dream and become the village's Seventh Hokage.","[8479, 103288]",Naruto Uzumaki,0
9342,"Rosalina first showed up in Super Mario Galaxy, in the Comet Observatory. She watches over  the cosmos like a guardian, and is also the adoptive mother to the Lumas, the star-like little creatures that resides in the universe. Bowser was the one who attacked the observatory and sent it drifting into space without any power. When Mario and Rosalina met, they decided to help each other out. Rosalina promised to help Mario save Princess Peach if Mario in return could gather Power Stars in order to get the power back. 

At first, people thought that Rosalina and Princess Peach were related, and they did take that into consideration at first, but finally took another route in the end, making her another princess-like character in the Mario world.

Many gamers started to like Rosalina and her wise, kind and thoughtful personality. That's why the creators decided to include her as a playable character in future games. You can play as her in the Mario Kart series, Super Smash Bros, as well as in Super Mario 3D World.",[152354],Rosalina,1
5352,"Solid Snake, real name David, also known as Old Snake, and briefly known as Iroquois Pliskin, or simply Snake, was a former spy, special operations soldier, and mercenary. Possessing an IQ of 180 and fluent in six languages,[1][5] he was known as ""the Man Who Makes the Impossible Possible"" and his exploits made him into a living legend among the military black ops. 
 
A product of Les Enfants Terribles project, Snake was a clone of world-renowned soldier Big Boss, along with his brothers Liquid Snake and Solidus Snake. Initially a Green Beret, Snake was later inducted into the High-Tech Special Forces Unit FOXHOUND in the mid-1990s while it was commanded by Big Boss. Repeatedly tasked with disarming and destroying the latest incarnation of Metal Gear, a bipedal nuclear weapon-armed tank, Snake would thrice avert potential nuclear catastrophe, becoming a famed war hero. 
 
Following the Shadow Moses Incident and subsequent smear campaign by the Patriots, the secret organization behind American politics, Snake was labeled a terrorist. He faked his own death in the Manhattan Tanker Incident, though he re-emerged years later to assist Raiden in the Big Shell Incident. During this time, his body entered a state of accelerated aging, due to intentional genetic changes made during the cloning process, causing his health to decline. 
 
In 2014, Snake performed his final mission, during which he defeated Liquid Ocelot and destroyed the Patriots. After one last encounter with Big Boss, Snake chose to live his remaining days in peace.","[375, 4006]",Solid Snake,0
2063,"Lithariel is the daughter of Lady Marwen, Queen of the Shore. As an infant, she was the only survivor of a trading ship which fell prey to the raids of the Tribesmen. Queen Marwen adopted the infant as a daughter and she is now the first in line for the throne. 
 
No one questions Lithariel's authority. She grew up quickly among the Tribesman and has taken their values as her own. A tough warrior, she is resourceful and honorable to a fault. She has never surrendered in a battle, even when it cost those following her their lives.",[3025],Lithariel,1
5100,"Abe is the central character in the Oddworld video game series, created by Oddworld Inhabitants. He first appeared in the 1997 game ""Oddworld: Abe's Oddysee."" Abe is a Mudokon, a species native to the planet Oddworld. He starts as a lowly floor waxer at RuptureFarms, the largest meat-processing plant on Oddworld, run by the ruthless Glukkons. The Mudokons are enslaved by the Glukkons and forced to work in dangerous and oppressive conditions.

Abe’s journey begins when he accidentally discovers that RuptureFarms plans to turn Mudokon slaves into a new line of meat products to save the failing company. Shocked and horrified by this revelation, Abe decides to escape from the factory and rescue as many of his fellow Mudokons as possible. His adventure involves solving intricate puzzles, sneaking past guards, and utilizing his unique ability to possess Sligs, the factory's enforcers.

Throughout the series, Abe evolves from an unsuspecting worker to a determined hero and liberator. He becomes a symbol of hope and resistance for the oppressed Mudokons. In ""Oddworld: Abe’s Exoddus"" (1998), he continues his mission, tackling new challenges and enemies as he aims to free his people from exploitation and enslavement.

Abe is characterised by humility, resourcefulness, and a strong sense of justice. His distinctive appearance, with blue-green skin, a topknot, and a stitched mouth, combined with his compassionate personality, has made him an iconic character in the world of video games. The Oddworld series has continued to evolve, with remakes and new entries keeping Abe's story alive and engaging for new generations of players.","[1000, 1001, 25076]",Abe,0
6438,"Hel is a Goddess and the keeper of the dead, lying judgement on souls to decide to is reborn. Beautiful and terrible she has both sides of two extremes. She's the daughter of the trickster God, Loki which means that her destiny was pretty much doomed to darkness from the very start. All-Father Odin had a prophecy that Hel and her siblings would end up creating Ragnarök, the battle that would end everything.  Wanting to prevent this, he cast them all into different realms and Hel got to rule over the realm of dead. 

When she was born, her face was cast half in light, half in shadow, meaning that she was both dead and alive at the same time. As the spirits of the kind-hearted, the sick, the elderly were brought to her, she cared for them, gave them comfort, yet those she deemed evil she mercilessly hurled into the frozen depths of Niflheim. 

One day, Hel will fulfill her prophecy, though it's still unknown if she will be a shadow of darkness or a force of light.","[6326, 14298]",Hel,1
4438,"The Big Bad Wolf, or Bigby Wolf as he calls himself in The Wolf Among Us, is the main protagonist and playable character in the game. Long time ago in the Homelands, Bigby was born with a group of seven cubs to Winter Wolf after being courted by the powerful North Wind. He was often teased by his brothers, but loved greatly by his mother until the day she died. When the others went out looking for their father, Bigby stayed to protect the corpse from bounty hunters. At that time, he was too weak to defend anything.

Angered by the loss, he swore vengeance, promising to eat something bigger as each day passed until he became large enough to confront his father. Seven times he tried, and seven times he failed, eventually burying his hatred and grief deep inside his heart. Around that time he became known as ""The Big Bad Wolf"" of legend. He often terrorized Little Red Riding Hood, attempting to devour her as he was stopped by the Woodsman who cut him open and filled him up with stones. That's also when the two of them became enemies.

After a series of events, Snow White tracks Bigby down and asks him to come to Fabletown. There, he becomes the sheriff with a duty to protect the Fables from mundies (humans) as well as themselves. Many people are still scared of the Wolf because of his past, and has a hard time trusting him. 

As a bit of a loner, however, he tries to prove to everyone day after day that he's not the same person anymore, and that he's capable of being the sheriff that everyone needs.",[2993],Bigby Wolf,0
2062,"Ratbag the Uruk craves power without knowing what he would do with it. He cannot heft a heavy weapon over his head, but he will, stupidly perhaps, attempt to claw his way to the top of Sauron's Army by aligning with his people's great enemy, the Gravewalker. 
 
He has deluded himself into believing the Ranger will help him become a Warchief and, once he has power, he will be able to keep all he has achieved. His many scars bear witness to his ineptitude and history of failure. He is a craven little thing whose only chance of success is in spite of himself.",[3025],Ratbag,0
6105,"Carley is one of the many main characters that appears in Telltale Games' The Walking Dead: Season One. She is a regional news reporter from Atlanta and a very skilled shooter. Carley's role is more active and she's never afraid to speak her mind. Having spent her time in war-zones as a correspondent, she presumably acquired basic knowledge of firearms and survival tactics that allows her to hold out during the outbreak.

Meeting Lee &amp; Clementine in Macon, they later develop some kind of love relationship. Like the rest of the group, she cares about the members' welfare. Carley wants to save every survivor and give everyone a chance. Being very respectful and thoughtful, she reassures Lee that she will keep the secret to herself when he chooses to admit his past to her.

Not much is known about Carley's personal life, other than that she was raised Lutheran. The production crew drove to Macon to cover the Cherry Blossom Festival and that's when they were attacked by walkers. She was forced to watch her producer being eaten alive just a few feet away from her. Carley was saved by a guy called Doug.

Sadly, her life takes a turn for the worse as you get deeper into the story.",[1871],Carley,1
315,"Miranda Lawson is a human Cerberus Officer. As Jacob Taylor's informant, she gives him guidance and advice during missions, often via hologram. Miranda is very well traveled and has many contacts, extending from Citadel space and the Terminus Systems, to as far as the hostile Nemean Abyss. Her vast network of contacts may be explained by the fact Miranda is a known Cerberus operative, one who still has friends — or at least friends of friends — in the Alliance military. 
 
Miranda is a potential romantic interest for a male Commander Shepard.",[74],Miranda Lawson,1
1112,"Mario Auditore (1434 – 1500) was the leader of the Italian Brotherhood of Assassins from at least 1476 to his death, a condottiero, and the ruler of Monteriggioni from 1454 until his death.","[127, 113]",Mario Auditore,0
