id,genres,name,screenshots,summary,source_game_id,obfuscated_summary
73,"[5, 12]",Mass Effect,"[8398, 8401, 8400, 8402, 8399]","What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.

Key Features:

Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.

Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.",73,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of <a location>, you'll assemble and lead an elite squad of heroes into battle after heart‑pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in <The game>.

Incredible, interactive storytelling. Create and customize your own character, from <the character>'s appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive <a location> to the harsh, radioactive landscape of <an organization>'s home world – the incredible breadth of <The game> will blow you away. Travel to the farthest outposts aboard <a location>, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand‑picked crew into explosive alien battles.

Edge‑of‑your‑seat excitement meets strategic combat. Find the perfect combination of squad‑mates and weapons for each battle if you want to lead them to victory. Sun‑Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored <an artifact> so choose your teams wisely."
73,"[5, 12]",Mass Effect,"[8398, 8401, 8400, 8402, 8399]","What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.

Key Features:

Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.

Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.",73,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of <a location>, you’ll assemble and lead an elite squad of heroes into battle after heart‑pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in <The game> trilogy.

Incredible, interactive storytelling. Create and customize your own character, from <the character>’s appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive <a location> to the harsh, radioactive landscape of <a location> – the incredible breadth of <The game> universe will blow you away. Travel to the farthest outposts aboard <a location>, the most technologically advanced ship in the galaxy. You’ll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand‑picked crew into explosive alien battles.

Edge‑of‑your‑seat excitement meets strategic combat. Find the perfect combination of squad‑mates and weapons for each battle if you want to lead them to victory. Sun‑Tzu’s advice remains as pertinent in 2183 as it is today – know your enemy. You’ll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored <an organization> so choose your teams wisely."
6750,"[4, 33]",BlazBlue: Continuum Shift,[883973],BlazBlue: Continuum Shift is a fighting game developed by Arc System Works as a direct sequel to BlazBlue: Calamity Trigger. BlazBlue: Continuum Shift retains the traditional 2D fighter gameplay of two characters participating in a duel on a two dimensional plane and features a selection of new playable characters.,6750,<The game> is a fighting game developed by <an organization> as a direct sequel to <The game>. <The game> retains the traditional 2D fighter gameplay of two characters participating in a duel on a two dimensional plane and features a selection of new playable characters.
26845,"[12, 15, 16, 24, 31]",Fire Emblem: Three Houses,"[214038, 214031, 214030, 214037, 214032, 214036, 214034, 214033, 214039, 214035, 214040, 214041]","Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?",26845,"Here, order is maintained by <an organization>, which hosts the prestigious <a location> within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from <a location>. As their professor, you must lead your students in their academic lives and in turn‑based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?"
6517,"[4, 33]",JoJo's Bizarre Adventure: All Star Battle,"[5219, 5216, 5217, 5220, 5218]","Adapted from Hirohiko Araki’s smash manga hit, JoJo’s Bizarre Adventure, the game takes characters spanning all eight incredible story arcs of the manga and pits them against each other in an epic one-on-one fighting game.

With a revolutionary proprietary graphics shader system, JoJo’s Bizarre Adventure: All-Star Battle gives players the feeling that they are participating in vivid and colorful battles straight from the pages of the manga. Players will be able to choose from an impressive cast of characters spanning the entire series. Each character comes with their signature moves punctuated by dynamic camera angles to capture every highlight of the fight either against computer opponents via Story Mode or human adversaries online.",6517,"Adapted from <the creator>’s smash manga hit, <The game>, the game takes characters spanning all eight incredible story arcs of the manga and pits them against each other in an epic one-on-one fighting game.

With a revolutionary proprietary graphics shader system, <The game> gives players the feeling that they are participating in vivid and colorful battles straight from the pages of the manga. Players will be able to choose from an impressive cast of characters spanning the entire series. Each character comes with their signature moves punctuated by dynamic camera angles to capture every highlight of the fight either against computer opponents via Story Mode or human adversaries online."
3025,"[12, 25, 31]",Middle-earth: Shadow of Mordor,"[5828, 5827, 5831, 5829, 5830, 1371285, 1371286]","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium.

The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life.

The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor.

The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier.

A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter.",3025,"<The game> is a open world third-person action role-playing video game developed by <an organization> and published by <an organization>, which takes place in the world of <a past event>.

The game takes place in the 60-year gap between the events of <a past event> and <a past event>. It is a story of revenge, slaughter, and mystery set entirely in <a location>. At its center is <the character>, an ordinary <man> who loses everything, including <his> mortal life.

The game is set in a fully open world, and features various role‑playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within <a location>.

The melee system is inspired by that of <an organization> series. Getting into a good fighting rhythm, using both regular attacks and counter‑attacks will improve the player's combo multiplier.

A unique feature of <The game> is the <a system>. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter."
7330,"[8, 31]",LittleBigPlanet 3,"[7414, 7413, 7416, 7415, 7417]","In LittleBigPlanet 3, explore a world filled with creativity as you explore all corners of the Imagisphere, meet the inhabitants of the mysterious planet Bunkum and face the nefarious Newton. Discover endless surprises that the LittleBigPlanet Community have created and shared for you to enjoy, with new levels and games to play every day. Then if you're feeling inspired, flex your creative muscles with the powerful and intuitive customization tools, to bring your own imagination to life in LittleBigPlanet 3.",7330,"In <The game>, explore a world filled with creativity as you explore all corners of <a location>, meet the inhabitants of the mysterious <a location> and face the nefarious <the character>. Discover endless surprises that <an organization> have created and shared for you to enjoy, with new levels and games to play every day. Then if you're feeling inspired, flex your creative muscles with the powerful and intuitive customization tools, to bring your own imagination to life in <The game>."
3025,"[12, 25, 31]",Middle-earth: Shadow of Mordor,"[5828, 5827, 5831, 5829, 5830, 1371285, 1371286]","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium.

The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life.

The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor.

The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier.

A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter.",3025,"<The game> is an open world third‑person action role‑playing video game developed by <an organization> and published by <an organization>, which takes place in the world of <a past event>.

The game takes place in the 60‑year gap between the events of <a past event> and <a past event>. It is a story of revenge, slaughter, and mystery set entirely in <a location>, the Land of Shadows. At its center is <the character>, an ordinary <man> who loses everything, including <his> mortal life.

The game is set in a fully open world, and features various role‑playing game elements such as experience points and skills. There are various ways the player can complete <their> main objective. Aside from the main storyline, there are various side quests and random events the player can complete within <a location>.

The melee system is inspired by a well‑known action series. Getting into a good fighting rhythm, using both regular attacks and counter‑attacks will improve the player's combo multiplier.

A unique feature of <The game> is <a feature>. Every enemy in the game has its own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change its tactics and conversations based on the encounter."
1050,"[5, 24, 31]",Hitman: Codename 47,"[46446, 46447, 46448, 46449, 46450]","Hitman: Codename 47 sets a new standard for thinker-shooters. As Hitman you must use stealth, tactics and imagination to enter, execute and exit your assignment, getting minimum attention but maximum effect!

You have access to the most devious devices, but it will cost you – how you use them will determine if you retire as a millionaire, or get retired! Hitman is no ordinary hired killer – he’s a versatile forensic artist using stealth, disguise, intelligence, advanced weapons, poison and raw power to accomplish his kills. But he is also haunted by a troubling past of deception and brutal genetic engineering.

The intriguing story evolves over five chapters of riveting action. But the success of a contract killer depends just as much on a fast mind as a quick shot.",1050,"<The game> sets a new standard for thinker‑shooters. As <the character> you must use stealth, tactics and imagination to enter, execute and exit your assignment, getting minimum attention but maximum effect!

You have access to the most devious devices, but it will cost you – how you use them will determine if you retire as a millionaire, or get retired! <the character> is no ordinary hired killer – <he/she/they>'s a versatile forensic artist using stealth, disguise, intelligence, advanced weapons, poison and raw power to accomplish <his/her/their> kills. But <he/she/they> is also haunted by a troubling past of deception and brutal genetic engineering.

The intriguing story evolves over five chapters of riveting action. But the success of a contract killer depends just as much on a fast mind as a quick shot."
9630,"[5, 12]",Fallout 4,"[11190, 16344, 11188, 11187, 11189, 1380533, 1380534, 1380535]","Bethesda Game Studios welcome you to the world of Fallout 4, their most ambitious game ever, and the next generation of open-world gaming. As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.",9630,"<the studio> welcome you to the world of <The game>, their most ambitious game ever, and the next generation of open-world gaming. As the sole survivor of <a location>, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of <a location>. Welcome home."
9727,"[9, 31, 32]",Soma,"[336613, 15176, 258204, 14739, 15174, 15175, 15173, 1401493, 1401494]","SOMA is a sci-fi horror game from Frictional Games, the creators of Amnesia: The Dark Descent. It is an unsettling story about identity, consciousness, and what it means to be human.

Enter the world of SOMA and face horrors buried deep beneath the ocean waves. Delve through locked terminals and secret documents to uncover the truth behind the chaos. Seek out the last remaining inhabitants and take part in the events that will ultimately shape the fate of the station. But be careful, danger lurks in every corner: corrupted humans, twisted creatures, insane robots, and even an inscrutable omnipresent A.I. You will need to figure out how to deal with each one of them. Just remember there’s no fighting back, either you outsmart your enemies or you get ready to run.",9727,"<The game> is a sci‑fi horror game from <an organization>, the creators of <a game>. It is an unsettling story about identity, consciousness, and what it means to be human.

Enter the world of <The game> and face horrors buried deep beneath the ocean waves. Delve through locked terminals and secret documents to uncover the truth behind the chaos. Seek out the last remaining inhabitants and take part in the events that will ultimately shape the fate of the station. But be careful, danger lurks in every corner: corrupted <person>, twisted creatures, insane robots, and even an inscrutable omnipresent A.I. You will need to figure out how to deal with each one of them. Just remember there’s no fighting back, either <you> outsmart <your> enemies or <you> get ready to run."
2062,"[12, 13, 14, 25, 31]",Yakuza 4,"[244578, 244579, 244574, 244575, 244576, 244577]","Yakuza 4 is the fourth game in Sega's crime drama series, known as 'Ryu ga Gotoku' in Japan. As a first for the series, the story is split between the viewpoints of four different protagonists.",2062,"<The game> is the fourth installment in the crime drama series. As a first for the series, the story is split between the viewpoints of four different protagonists."
1529,"[5, 8, 31]",Jak II,"[2162, 389727, 389726, 389729, 389730, 389728, 2163, 389725]","Jak II is an open-world platform, third-person shooter, and an action-adventure video game. It is the second game of the Jak and Daxter series and a sequel to Jak and Daxter: The Precursor Legacy.",1529,"<The game> is an open-world platform, third-person shooter, and an action‑adventure video game. It is the second game in <The game> series and a sequel to <The game>."
4,"[5, 31]",Thief,"[2331, 2329, 2330, 6519, 2328]","There is a rising tide of fear in The City. Hatred saturates every stone and whilst the rich prosper, the less fortunate face misery and repression. Ravaged with sickness and famine, they wait for something to change.
Into this shadowy world steps Garrett, THE master thief in Thief, a reinvention of a franchise that helped define an entire genre of games. This first-person adventure features intelligent design that allows players to take full control, with freedom to choose their path through the game's levels and how they approach and overcome each challenge.",4,"There is a rising tide of fear in <a location>. Hatred saturates every stone and whilst the rich prosper, the less fortunate face misery and repression. Ravaged with sickness and famine, they wait for something to change.  
Into this shadowy world steps <the character>, the master thief in <The game>, a reinvention of a franchise that helped define an entire genre of games. This first‑person adventure features intelligent design that allows players to take full control, with freedom to choose their path through the game's levels and how they approach and overcome each challenge."
2062,"[12, 13, 14, 25, 31]",Yakuza 4,"[244578, 244579, 244574, 244575, 244576, 244577]","Yakuza 4 is the fourth game in Sega's crime drama series, known as 'Ryu ga Gotoku' in Japan. As a first for the series, the story is split between the viewpoints of four different protagonists.",2062,"<The game> is the fourth game in <an organization>'s crime drama series, known as '<the series>' in Japan. As a first for the series, the story is split between the viewpoints of four different protagonists."
